"","id","likes_count","love_count","haha_count","wow_count","sad_count","angry_count"
"1","94971738769_10155790461863770",196,8,1,1,0,0
"2","94971738769_10155793606393770",31,3,0,0,0,0
"3","94971738769_10155771258148770",27,0,0,0,0,0
"4","94971738769_10155784471513770",60,1,0,1,0,0
"5","94971738769_10155748510648770",735,74,0,3,0,0
"6","94971738769_10155776806113770",32,2,0,0,0,0
"7","94971738769_10155743392598770",2117,40,2,1,0,0
"8","94971738769_10155728891528770",80,4,0,0,0,0
"9","94971738769_10155728849133770",113,3,4,1,0,0
"10","94971738769_10155732260183770",225,6,0,4,0,1
"11","94971738769_10155728826028770",156,5,1,0,0,0
"12","94971738769_10155720531808770",273,14,1,2,0,0
"13","94971738769_10155708896828770",360,7,0,2,0,1
"14","94971738769_10155667640763770",652,39,20,2,3,1
"15","94971738769_10155649464823770",122,7,0,3,0,0
"16","94971738769_10155649179258770",511,20,0,1,0,0
"17","94971738769_10155608387568770",2215,101,0,2,0,1
"18","94971738769_10155588365073770",3177,151,0,7,0,0
"19","94971738769_10155530838388770",2330,76,1,12,0,0
"20","94971738769_10155527637898770",2238,52,1,3,0,0
"21","94971738769_10155527617178770",318,7,0,0,0,0
