"","id","likes_count","love_count","haha_count","wow_count","sad_count","angry_count"
"1","94971738769_10155790461863770",196,8,1,1,0,0
"2","94971738769_10155793606393770",31,3,0,0,0,0
"3","94971738769_10155771258148770",27,0,0,0,0,0
"4","94971738769_10155784471513770",60,1,0,1,0,0
"5","94971738769_10155748510648770",735,74,0,3,0,0
"6","94971738769_10155776806113770",32,2,0,0,0,0
"7","94971738769_10155743392598770",2117,40,2,1,0,0
"8","94971738769_10155728891528770",80,4,0,0,0,0
"9","94971738769_10155728849133770",113,3,4,1,0,0
"10","94971738769_10155732260183770",225,6,0,4,0,1
"11","94971738769_10155728826028770",156,5,1,0,0,0
"12","94971738769_10155720531808770",273,14,1,2,0,0
"13","94971738769_10155708896828770",360,7,0,2,0,1
"14","94971738769_10155667640763770",652,39,20,2,3,1
"15","94971738769_10155649464823770",122,7,0,3,0,0
"16","94971738769_10155649179258770",511,20,0,1,0,0
"17","94971738769_10155608387568770",2215,101,0,2,0,1
"18","94971738769_10155588365073770",3177,151,0,7,0,0
"19","94971738769_10155530838388770",2330,76,1,12,0,0
"20","94971738769_10155527637898770",2238,52,1,3,0,0
"21","94971738769_10155527617178770",318,7,0,0,0,0
"22","94971738769_10155520281458770",1568,51,0,7,1,0
"23","94971738769_10155501772278770",2846,82,0,14,0,0
"24","94971738769_10155449760713770",198,9,0,0,0,0
"25","94971738769_10155471701858770",70,6,0,1,0,3
"26","94971738769_10155418712173770",160,3,2,0,0,0
"27","94971738769_10155370949528770",2298,50,0,5,0,1
"28","94971738769_10155370884138770",56,1,0,0,0,0
"29","94971738769_10155350744693770",2376,93,0,10,0,0
"30","94971738769_10155303145543770",125,0,0,0,0,0
"31","94971738769_10155242264023770",1865,54,0,3,0,0
"32","94971738769_10155218962813770",381,3,0,0,0,0
"33","94971738769_10155175558598770",703,15,0,0,0,1
"34","94971738769_10155174765938770",681,19,0,6,0,0
"35","94971738769_10155170603113770",942,18,0,2,0,0
"36","94971738769_10155117325883770",245,7,0,0,0,0
"37","94971738769_10155035848998770",418,16,0,1,0,0
"38","94971738769_10155017923953770",1486,38,0,3,0,0
"39","94971738769_10154986404988770",2889,87,3,60,0,0
"40","94971738769_10154840626823770",714,27,2,3,3,2
"41","94971738769_10154816473938770",369,10,8,1,0,1
"42","94971738769_10154810140738770",344,21,1,0,0,1
