"","id","likes_count","love_count","haha_count","wow_count","sad_count","angry_count"
"1","32075534692_10155146656159693",85,11,0,0,0,0
"2","32075534692_10155144192379693",365,14,1,1,0,0
"3","32075534692_10155146312874693",231,22,0,0,0,0
"4","32075534692_10155144221069693",339,62,0,0,0,0
"5","32075534692_10155140515404693",823,24,0,0,0,0
"6","32075534692_10155138041209693",85,10,0,0,0,0
"7","32075534692_10155125685264693",227,20,0,1,0,0
"8","32075534692_10155125686159693",135,5,0,2,0,0
"9","32075534692_10155125675274693",397,26,0,2,0,0
"10","32075534692_10155125661529693",88,3,0,0,0,0
"11","32075534692_10155122721004693",51,17,0,0,0,0
"12","32075534692_10155119409629693",1035,51,0,4,0,0
"13","32075534692_10155117405634693",28,1,0,0,0,0
"14","32075534692_10155101722599693",1700,112,3,7,0,0
"15","32075534692_10155101831524693",440,30,0,1,0,0
"16","32075534692_10155101864779693",659,75,0,4,0,0
"17","32075534692_10155098053684693",80,7,0,0,0,0
"18","32075534692_10155095084474693",847,25,2,0,0,0
"19","32075534692_10155091667179693",708,54,0,0,0,0
"20","32075534692_10155071131104693",29,0,0,1,0,0
"21","32075534692_10155088425984693",333,21,0,0,0,0
"22","32075534692_10155087780964693",17,1,0,0,0,0
"23","32075534692_10155084508469693",83,2,0,0,0,0
"24","32075534692_10155081156699693",219,16,0,0,0,0
"25","32075534692_10155078219584693",190,7,0,0,0,0
"26","32075534692_10155077616324693",15,0,0,1,0,0
"27","32075534692_10155074604234693",96,4,1,0,0,1
"28","32075534692_10155074366364693",24,1,0,0,0,0
"29","32075534692_10155071100789693",21,0,0,1,0,0
"30","32075534692_10155071082644693",11,2,0,0,0,0
"31","32075534692_10155071021014693",21,2,0,0,0,0
"32","32075534692_10155070527649693",724,26,1,0,0,0
"33","32075534692_10155025582309693",11,1,0,0,0,0
"34","32075534692_10155025594309693",96,12,0,0,0,0
"35","32075534692_10155060533204693",130,3,0,0,0,0
"36","32075534692_10155057132804693",181,11,0,0,0,0
"37","32075534692_10155025544109693",314,22,0,1,0,0
"38","32075534692_10155025548744693",332,11,0,0,0,0
"39","32075534692_10155045283709693",947,29,0,2,0,0
"40","32075534692_10155025535084693",729,42,0,0,0,0
"41","32075534692_10155025525379693",230,8,0,0,0,0
"42","32075534692_10155036225489693",18,1,0,0,0,0
"43","32075534692_10155033531374693",96,6,88,0,0,0
"44","32075534692_10155025500239693",382,26,0,0,0,0
"45","32075534692_10155028643224693",136,5,0,0,0,0
"46","32075534692_10155025646024693",1003,28,1,2,0,0
"47","32075534692_10155023103224693",226,19,1,0,0,0
"48","32075534692_10155020581684693",446,28,0,1,0,0
"49","32075534692_10155016233179693",78,4,0,0,0,0
"50","32075534692_10155013310304693",659,70,0,0,0,0
"51","32075534692_10155010386134693",87,7,0,0,0,0
"52","32075534692_10155007478879693",43,4,0,1,0,0
"53","32075534692_10155004771674693",1080,54,0,6,0,0
"54","32075534692_10155001506059693",65,7,1,0,0,0
"55","32075534692_10154999369474693",35,1,0,0,0,0
"56","32075534692_10154990849474693",128,10,0,0,0,0
"57","32075534692_10154990368794693",793,38,0,0,0,0
"58","32075534692_10154990746449693",54,3,0,0,0,0
"59","32075534692_10154990367279693",186,11,0,0,0,0
"60","32075534692_10154988409984693",93,1,0,0,0,0
"61","32075534692_10154984709399693",940,29,0,0,0,0
"62","32075534692_10154982790934693",92,3,0,0,0,0
"63","32075534692_10154982676624693",58,1,0,0,0,0
"64","32075534692_10154982113629693",50,0,0,1,0,0
"65","32075534692_10154968414729693",251,11,0,0,0,0
"66","32075534692_10154965377594693",430,14,0,0,0,0
"67","32075534692_10154965355019693",1148,57,0,0,0,0
"68","32075534692_10154965346694693",528,20,0,0,0,0
"69","32075534692_10154965516364693",875,59,0,2,0,0
"70","32075534692_10154961163039693",1065,37,0,3,0,0
"71","32075534692_10154957777754693",219,7,0,4,0,0
"72","32075534692_10154956174819693",399,15,0,3,0,0
"73","32075534692_10154946489214693",517,19,2,1,0,0
"74","32075534692_10154946479274693",1901,177,1,4,0,0
"75","32075534692_10154945538884693",164,10,0,1,0,0
"76","32075534692_10154943074399693",1183,107,0,0,0,0
"77","32075534692_10154940790019693",712,16,0,0,0,0
"78","32075534692_10154938505789693",44,0,0,0,0,0
"79","32075534692_10154938509794693",222,23,0,5,0,0
"80","32075534692_10154936043849693",712,40,0,2,0,0
"81","32075534692_10154924900724693",99,8,0,0,0,0
"82","32075534692_10154924893284693",194,18,0,0,0,0
"83","32075534692_10154926903939693",23,1,0,0,0,0
"84","32075534692_10154925199489693",229,12,0,0,0,0
"85","32075534692_10154921818729693",2331,145,1,6,0,0
"86","32075534692_10154919777299693",1134,104,0,0,0,0
"87","32075534692_10154917262169693",335,8,0,0,0,0
"88","32075534692_10154899411719693",166,11,0,0,0,0
"89","32075534692_10154899388789693",516,31,0,0,0,0
"90","32075534692_10154899381944693",531,31,0,0,0,0
"91","32075534692_10154899373909693",1904,121,2,0,0,0
"92","32075534692_10154899092324693",1038,43,0,0,0,0
"93","32075534692_10154897158179693",554,17,1,1,0,0
"94","32075534692_10154893490799693",382,20,1,0,0,0
"95","32075534692_10154882619899693",907,45,0,3,0,0
"96","32075534692_10154885954659693",526,31,0,1,0,0
"97","32075534692_10154885295279693",114,6,0,1,0,0
"98","32075534692_10154882710564693",237,19,0,1,0,0
"99","32075534692_10154879813929693",918,28,0,0,0,0
