"","X","from_id","from_name","message","created_time","type","link","id","story","likes_count","comments_count","shares_count"
"5",5,32075534692,"Oasis Fashion","Get set for alllll those special celebrations, starting with a dreamy dress! Tell us if you prefer THIS tropical dress or THAT dandelion dress and you could WIN IT.","2017-05-03T09:20:01+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155140515404693/?type=3","32075534692_10155140515404693",NA,823,1100,165
"12",12,32075534692,"Oasis Fashion","It's time to brighten up! Tell us if you prefer THIS luxurious lace skater or THAT beautiful bloom pencil dress and you could WIN IT.","2017-04-26T09:00:08+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155119409629693/?type=3","32075534692_10155119409629693",NA,1035,1342,188
"14",14,32075534692,"Oasis Fashion","Looking for a new look? Look no further. http://www.oasis-stores.com/gb/new-in/","2017-04-23T08:10:00+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155101722599693/?type=3","32075534692_10155101722599693",NA,1700,38,19
"18",18,32075534692,"Oasis Fashion","It's the pretty scarf-inspired print that's set for strolls and sunshine. Tell us if you prefer THIS cold shoulder top or THAT shift dress and you could WIN IT.","2017-04-19T14:00:06+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155095084474693/?type=3","32075534692_10155095084474693",NA,847,1117,149
"32",32,32075534692,"Oasis Fashion","Starting to plan for your next getaway? Tell us if you prefer THIS Scallop Lace Kaftan or THAT Tropical Penang Jumpsuit and you could WIN IT.","2017-04-12T09:00:05+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155070527649693/?type=3","32075534692_10155070527649693",NA,724,1007,124
"39",39,32075534692,"Oasis Fashion","A new season, a new wardrobe. Tell us if you prefer THIS bird tie front top or THAT bird stripe tee and you could WIN IT.","2017-04-05T09:30:02+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155045283709693/?type=3","32075534692_10155045283709693",NA,947,1295,158
"46",46,32075534692,"Oasis Fashion","A new season, a new wardrobe. Tell us if you prefer THIS spring shirt or THAT hummingbird dress and you could WIN IT.","2017-03-29T12:05:00+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155025646024693/?type=3","32075534692_10155025646024693",NA,1003,1328,168
"53",53,32075534692,"Oasis Fashion","It's time to get a taste for the exotic! Tell us if you prefer THIS tropical dress or THAT tropical skirt and you could WIN IT.","2017-03-22T12:00:04+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155004771674693/?type=3","32075534692_10155004771674693",NA,1080,1349,165
"61",61,32075534692,"Oasis Fashion","Searching for a new springtime staple? Tell us if you prefer THIS cold shoulder shirt or THAT stripe shirtdress and you could WIN IT.","2017-03-15T11:40:03+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10154984709399693/?type=3","32075534692_10154984709399693",NA,940,1206,143
"70",70,32075534692,"Oasis Fashion","Received that all-important invite? Tell us which pretty piece you prefer and you could WIN IT.","2017-03-08T10:35:03+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10154961163039693/?type=3","32075534692_10154961163039693",NA,1065,1416,182
"74",74,32075534692,"Oasis Fashion","Brighten up dull days with beautiful blooms, inspired by florist Nikki Tibbles Wild at Heart. http://www.oasis-stores.com/gb/collections/wild-at-heart/","2017-03-04T09:03:01+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10154946479274693/?type=3","32075534692_10154946479274693",NA,1901,60,20
"77",77,32075534692,"Oasis Fashion","Team your skinnies with a standout piece, just tell us if you prefer THIS or THAT and you could WIN IT.","2017-03-01T14:00:08+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10154940790019693/?type=3","32075534692_10154940790019693",NA,712,1008,132
"80",80,32075534692,"Oasis Fashion","WIN a floristry workshop for two at Nikki Tibbles Wild at Heart, PLUS a £150 Oasis gift voucher. Comment and tell us what your favourite flower is and WHY to enter","2017-02-27T17:00:16+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10154936043849693/?type=3","32075534692_10154936043849693",NA,712,931,101
"85",85,32075534692,"Oasis Fashion","You're bound to fall in love with these beautiful blooms, inspired by Nikki Tibbles Wild at Heart. Tell us if you prefer THIS or THAT for a chance to WIN IT.","2017-02-22T10:30:02+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10154921818729693/?type=3","32075534692_10154921818729693",NA,2331,2690,307
"91",91,32075534692,"Oasis Fashion","Bee-utiful. Shop our new arrivals here... http://www.oasis-stores.com/new-in/","2017-02-16T08:20:00+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10154899373909693/?type=3","32075534692_10154899373909693",NA,1904,74,15
"92",92,32075534692,"Oasis Fashion","Fancy a little floral? Us too. Tell us if you prefer THIS embroidered floral knit or THAT floral-filled shirt and you could WIN IT.","2017-02-15T11:45:02+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10154899092324693/?type=3","32075534692_10154899092324693",NA,1038,1383,107
"93",93,32075534692,"Oasis Fashion","Sporty stripes, or sleek skinnies? Tell us if you prefer THIS or THAT and you could WIN IT.","2017-02-14T17:45:03+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10154897158179693/?type=3","32075534692_10154897158179693",NA,554,811,75
"99",99,32075534692,"Oasis Fashion","Daytime stripes or nighttime shine? Tell us if you prefer THIS or THAT and you could WIN it.","2017-02-08T10:30:03+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10154879813929693/?type=3","32075534692_10154879813929693",NA,918,1239,114
