"","X.1","X","from_id","from_name","message","created_time","type","link","id","story","likes_count","comments_count","shares_count"
"1",6,6,32075534692,"Oasis Fashion","We're giving you another chance to win a piece from our magical collection, inspired by ZSL. Just tell us if you prefer THIS cheetah print skirt or THAT zebra knit and you could WIN IT. #OasisxZSL #thewildestdream","2017-08-02T09:30:00+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155441524949693/?type=3","32075534692_10155441524949693",NA,883,1223,168
"2",14,14,32075534692,"Oasis Fashion","It's time to take a walk on the wild side with our latest collaboration, inspired by ZSL. Tell us if you prefer THIS frill tea dress or THAT Indiana skater and you could WIN IT.","2017-07-26T09:35:00+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155422319004693/?type=3","32075534692_10155422319004693",NA,1063,1425,186
"3",20,20,32075534692,"Oasis Fashion","Because you just HAVE TO HAVE these. Tell us if you prefer THIS flattering floral cami or THAT stripe tie tee and you could WIN IT.","2017-07-19T09:35:01+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155397930069693/?type=3","32075534692_10155397930069693",NA,812,1110,144
"4",27,27,32075534692,"Oasis Fashion","Beautiful butterflies adorn these pretty pieces, but which one floats your boat? Tell us if you prefer THIS dress or THAT top and you could WIN IT.","2017-07-12T09:20:02+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155371785264693/?type=3","32075534692_10155371785264693",NA,1295,1767,204
"5",33,33,32075534692,"Oasis Fashion","Tennis anyone? This week we're inspired by Wimbledon and its gleaming tennis whites. Tell us if you prefer THIS lace mini or THAT long sleeve bardot and you could WIN IT.","2017-07-05T09:00:04+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155347385299693/?type=3","32075534692_10155347385299693",NA,786,1156,121
"6",38,38,32075534692,"Oasis Fashion","That’s right, we have TWO £500 Oasis vouchers up for grabs, plus FIVE runner-up prizes courtesy of Hawaiian Tropic Silk Hydration Suncare. For your chance to win, COMMENT where you’re heading this summer and what you’ll be wearing THEN SHARE!","2017-06-30T13:00:05+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155328077389693/?type=3","32075534692_10155328077389693",NA,1617,2001,1379
"7",40,40,32075534692,"Oasis Fashion","It's time to brighten up your wardrobe! Tell us if you prefer THIS lemon mini or THAT beautiful blue shift and you could WIN IT.","2017-06-28T09:10:19+0000","video","https://www.facebook.com/oasisfashions/videos/10155319811024693/","32075534692_10155319811024693",NA,859,1292,142
"8",47,47,32075534692,"Oasis Fashion","Show those shoulders in the shape of the season! Tell us if you prefer THIS palm print bardot or THAT turquoise bardot for a chance to WIN IT.","2017-06-21T10:05:17+0000","video","https://www.facebook.com/oasisfashions/videos/10155295554244693/","32075534692_10155295554244693",NA,751,1019,101
"9",52,52,32075534692,"Oasis Fashion","Want to win one of these pretty pieces? Just tell us if you prefer THIS cold shoulder scuba dress or THAT lace hem v-neck cami. 

Explore our perfectly printed collection here http://www.oasis-stores.com/gb/collections/royal-worcester/","2017-06-14T13:00:20+0000","video","https://www.facebook.com/oasisfashions/videos/10155273402674693/","32075534692_10155273402674693",NA,1281,1635,153
"10",56,56,32075534692,"Oasis Fashion","We're feeling pretty in pink! Tell us if you prefer THIS dress or THAT jumpsuit and you could WIN IT.","2017-06-07T14:10:02+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155250091089693/?type=3","32075534692_10155250091089693",NA,1427,1904,251
"11",65,65,32075534692,"Oasis Fashion","Nothing says boho beauty like a bold, graphic print. Tell us if you prefer THIS pretty playsuit or THAT cute cami for a chance to WIN IT.","2017-05-31T15:45:19+0000","video","https://www.facebook.com/oasisfashions/videos/10155227683559693/","32075534692_10155227683559693",NA,652,858,114
"12",71,71,32075534692,"Oasis Fashion","Want to win one of these pretty pieces? Just tell us if you prefer THIS pretty pleat skater or THAT stylish sundress. 
Explore our perfectly printed collection here http://www.oasis-stores.com/gb/collections/royal-worcester/","2017-05-24T10:03:46+0000","video","https://www.facebook.com/oasisfashions/videos/10155205290119693/","32075534692_10155205290119693",NA,1138,1639,188
"13",78,78,32075534692,"Oasis Fashion","We've teamed up with London brand Nooki to create some VERY stylish statement pieces. Tell us which beautiful beaded bag you prefer and you could WIN IT.","2017-05-17T09:20:12+0000","video","https://www.facebook.com/oasisfashions/videos/10155182830909693/","32075534692_10155182830909693",NA,657,812,124
"14",86,86,32075534692,"Oasis Fashion","It's time to show off those shoulders! Tell us if you prefer THIS lace trim cami or THAT cute coral top and you could WIN IT.","2017-05-10T09:00:12+0000","video","https://www.facebook.com/oasisfashions/videos/10155161221904693/","32075534692_10155161221904693",NA,847,1151,150
