"","x"
"1","Hi Stephanie, Thanks for your post, Can you please DM us your query? We hope to hear from you soon. Love Oasis X"
"2","That zebra knit, just perfect for this weather too xxx"
"3","THAT! I would #Love to win that gorgeous zebra knit. I suffer with a condition called Ehlers Danlos Syndrome which affects my joints and skin all over my body, and the zebra is our mascot, zebra stripes are our colours. <ed><U+00A0><U+00BD><ed><U+00B2><U+0099>"
"4","The zebra knit is lovely! I'm teaching my class all about animals when we go back to school. It would be so cool to rock this in class! The children would love it! X #OasisxZSL#thewildestdream"
"5","THAT  Exciting  Such Lovely prize to offer sure be nice treat Count me in please! Have liked and shared your page -Good Luck everyone! Got to be in it to win it I would Love to be your winner Tagging Becky Bugden :)"
"6","I would love to win the cheetah print skirt as I am inspired by Dave my husband.  We are in Denmark at the European Masters Athletic Competition.  He has just competed in 4 races . 100m/400m flat race and hurdles!"
"7","THIS please!!! <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>

This'd be soooo lovely to win!! Happily liked and shared with my family and friends who i know would love this too... 
Fingers & toes crossed it's my lucky day!! Good luck to everyone entering!! 
<ed><U+00A0><U+00BC><ed><U+00BD><U+0080><ed><U+00A0><U+00BE><ed><U+00B4><U+009E><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BC><ed><U+00BD><U+0080><ed><U+00A0><U+00BE><ed><U+00B4><U+009E><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BC><ed><U+00BD><U+0080><ed><U+00A0><U+00BE><ed><U+00B4><U+009E><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BC><ed><U+00BD><U+0080><ed><U+00A0><U+00BE><ed><U+00B4><U+009E><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BC><ed><U+00BD><U+0080><ed><U+00A0><U+00BE><ed><U+00B4><U+009E><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BC><ed><U+00BD><U+0080><ed><U+00A0><U+00BE><ed><U+00B4><U+009E><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC> tagging Abbie Jennings"
"8","<ed><U+00A0><U+00BD><ed><U+00B0><U+0086><U+2764><ed><U+00A0><U+00BD><ed><U+00B0><U+0086><U+2764><ed><U+00A0><U+00BD><ed><U+00B0><U+0086><U+2764><ed><U+00A0><U+00BD><ed><U+00B0><U+0086>
#Win #TheWildestDream #OasisxZSL
My favourite has to be THAT zebra knit! Love this style, love wildlife. I've done lots of animal experiences and it just reminds me of all those memories, perfect!
Liked and shared
<ed><U+00A0><U+00BD><ed><U+00B0><U+0086><U+2764><ed><U+00A0><U+00BD><ed><U+00B0><U+0086><U+2764><ed><U+00A0><U+00BD><ed><U+00B0><U+0086><U+2764><ed><U+00A0><U+00BD><ed><U+00B0><U+0086>"
"9","THAT  lovely Zebra knit,   Love both pieces but the Zebra knit is far more me & they were the first animal I saw on arrival on my volunteering trips in SA. #OasisZSL #thewildestdream   Lots of happy memories Wildlife volunteering   Xxx"
"10","THIS Cheetah print skirt! 
Fab prize count me in please would love to be your lucky winner i have liked and shared with family and friends 
Good luck everyone <ed><U+00A0><U+00BC><ed><U+00BD><U+0080><ed><U+00A0><U+00BE><ed><U+00B5><U+0080><U+263A><ed><U+00A0><U+00BC><ed><U+00BD><U+0080>
Ling Yip"
"11","THAT please.
Wow yes please, lovely prize, happily liked and shared thanks very much for the chance to win, fingers crossed. Xxxxx Teena Goodwin"
"12","That zebra knit, looks so cosy and lovely, love your new range I already have the zebra bag so this would go perfect with it xx xx"
"13","THAT zebra knit - I <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> your amazing competition. You are very generous to give such a fantastic prize. It would be incredible to #win. Thanks for the chance"
"14","Well obviously in my wildest dreams, I'd like both. But if I HAD to choose...THAT zebra knit. Bloody fabulous Oasis Fashion! Love your collaborations. #oasisxZSL #thewildestdream"
"15","Love THAT zebra knit!!! Especially with the cold and wet weather we have down in Portsmouth i need this <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> #winitwesnesday #thewildestdream"
"16","THAT zebra knit please!! <ed><U+00A0><U+00BD><ed><U+00B8><U+008D>Definitely <U+263A><U+FE0F><U+2728><ed><U+00A0><U+00BD><ed><U+00B8><U+008D> Love them!! I'm going to Edinburgh zoo soon so that'd be so lovely to wear there! #winitwednesday #thewildestdream #OasisxZSL"
"17","THIS Cheetah Skirt is beautiful <ed><U+00A0><U+00BD><ed><U+00B8><U+008D> Such a brilliant prize!! <ed><U+00A0><U+00BC><ed><U+00BE><U+0089> I would be absolutely delighted to be your lucky winner! <ed><U+00A0><U+00BE><ed><U+00B4><U+009E><ed><U+00A0><U+00BE><ed><U+00B4><U+009E><ed><U+00A0><U+00BD><ed><U+00B2><U+0096><ed><U+00A0><U+00BD><ed><U+00B2><U+0096> Everything crossed <ed><U+00A0><U+00BC><ed><U+00BD><U+0080><ed><U+00A0><U+00BC><ed><U+00BD><U+0080><U+263A><U+263A>"
"18","THIS!! .. oh wow that skirt in summer and in winter with tights would look amazing and still have a bit of jungle <ed><U+00A0><U+00BD><ed><U+00B9><U+0088><ed><U+00A0><U+00BD><ed><U+00B9><U+0088><U+2764><U+FE0F><U+2764><U+FE0F> i'm in love!!"
"19","Definitely THAT for me. Love the zebra top. My sons and I are avid ZSL supporters and members. I would proudly wear this on our next visit."
"20","I love the skirt, but I think the chances of getting into it at 40 weeks pregnant are slim...so for that reason I'll go for THAT beautiful zebra knit!"
"21","Love that zebra print. It's cute and has shorter sleeves so I can wear it on my Ward round without getting told off by infection control! <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>"
"22","THAT zebra knit <ed><U+00A0><U+00BD><ed><U+00B8><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008D> love love love how it is styled, and can't wait for the autumn styles to return, this would be a fab addition to my wardrobe! <ed><U+00A0><U+00BD><ed><U+00B2><U+0095>"
"23","Difficult decision as always oasis,but personally I would pick THIS cheetah print skirt-fingers and toes crossed from sunny Spain.#WINIT.<ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><ed><U+00A0><U+00BE><ed><U+00B4><U+0097><ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB>"
"24","That lice zebras #OasisxZSL #thewildestdream this would be wonderful happily liked shared thanks for the chance xx Emily Lewis Linda Will Keal Lesley Carnochan"
