"","X","from_id","from_name","message","created_time","type","link","id","story","likes_count","comments_count","shares_count"
"13",13,32075534692,"Oasis Fashion","Because you just HAVE TO HAVE these...

Tell us if you prefer THIS Reversible Parka Coat or THAT Cosy Padded Coat and you could WIN IT!","2017-11-01T12:15:02+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155681409359693/?type=3","32075534692_10155681409359693",NA,2427,3424,646
"25",25,32075534692,"Oasis Fashion","Because you just HAVE TO HAVE these...
 Tell us if you prefer THIS Velvet Sleeve Tee or THAT Choker Tee and you could WIN IT!","2017-10-25T11:30:02+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155662696919693/?type=3","32075534692_10155662696919693",NA,865,1175,168
"40",40,32075534692,"Oasis Fashion","Because you just HAVE TO HAVE these...

Tell us if you prefer THIS Check Coat or THAT Faux Fur Collar Coat and you could WIN IT!","2017-10-18T11:30:08+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155644449489693/?type=3","32075534692_10155644449489693",NA,1739,2647,348
"49",49,32075534692,"Oasis Fashion","Because you just HAVE TO HAVE these. 

Tell us if you prefer THIS floral wrap dress or THAT black velvet dress and you could WIN IT.","2017-10-11T11:30:01+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155625776489693/?type=3","32075534692_10155625782324693",NA,1167,1727,194
"59",59,32075534692,"Oasis Fashion","Because you just HAVE TO HAVE these. Tell us if you prefer THIS colour block knit or THAT oversized perfect crew and you could WIN IT.","2017-10-04T11:28:01+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155610275694693/?type=3","32075534692_10155610275694693",NA,1104,1512,221
"67",67,32075534692,"Oasis Fashion","Because you just HAVE TO HAVE these. Tell us if you prefer THIS Rossetti embroidered knit or THAT delphina jaquard mini skirt and you could WIN IT.","2017-09-27T11:30:03+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155592926194693/?type=3","32075534692_10155592926194693",NA,1003,1375,202
"75",75,32075534692,"Oasis Fashion","Because you just HAVE TO HAVE these. Tell us if you prefer THIS Lily stiletto skinny jean or THAT side stripe trouser and you could WIN IT.","2017-09-20T12:00:05+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155574555334693/?type=3","32075534692_10155574555334693",NA,970,1409,172
"82",82,32075534692,"Oasis Fashion","Because you just HAVE TO HAVE these. Tell us if you prefer THIS beautiful Rosetti print shirt or THAT classic Rosetti shift dress and you could WIN IT.","2017-09-13T13:06:05+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155556513404693/?type=3","32075534692_10155556513404693",NA,1388,2050,246
"91",91,32075534692,"Oasis Fashion","Because you just HAVE TO HAVE these. Tell us if you prefer THIS ultimate red suit jacket or THAT classic longline blazer and you could WIN IT.","2017-09-06T11:30:05+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155538632664693/?type=3","32075534692_10155538632664693",NA,797,1094,156
"98",98,32075534692,"Oasis Fashion","Because you just HAVE TO HAVE these. Tell us if you prefer THIS cute flippy skirt or THAT classic bell sleeve knit and you could WIN IT.","2017-08-30T12:05:02+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155519690434693/?type=3","32075534692_10155519690434693",NA,761,1013,120
"110",110,32075534692,"Oasis Fashion","Because you just HAVE TO HAVE these. Tell us if you prefer THIS beautiful berry key hole top or THAT navy kimono wrap front tee and you could WIN IT.","2017-08-23T11:15:01+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155501118084693/?type=3","32075534692_10155501118084693",NA,851,1181,159
"118",118,32075534692,"Oasis Fashion","Because you just HAVE TO HAVE these. Tell us if you prefer THIS flattering textured flippy dress or THAT textured peplum top and you could WIN IT.","2017-08-16T08:00:08+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155482230509693/?type=3","32075534692_10155482230509693",NA,906,1226,177
"128",128,32075534692,"Oasis Fashion","It's time for denim with a little something extra! Tell us if you prefer THIS embroidered jean or THAT embroidered skirt and you could WIN IT.","2017-08-09T09:53:01+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155463148779693/?type=3","32075534692_10155463148779693",NA,746,965,126
"135",135,32075534692,"Oasis Fashion","We're giving you another chance to win a piece from our magical collection, inspired by ZSL. Just tell us if you prefer THIS cheetah print skirt or THAT zebra knit and you could WIN IT. #OasisxZSL #thewildestdream","2017-08-02T09:30:00+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155441524949693/?type=3","32075534692_10155441524949693",NA,883,1223,168
"143",143,32075534692,"Oasis Fashion","It's time to take a walk on the wild side with our latest collaboration, inspired by ZSL. Tell us if you prefer THIS frill tea dress or THAT Indiana skater and you could WIN IT.","2017-07-26T09:35:00+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155422319004693/?type=3","32075534692_10155422319004693",NA,1063,1425,186
"149",149,32075534692,"Oasis Fashion","Because you just HAVE TO HAVE these. Tell us if you prefer THIS flattering floral cami or THAT stripe tie tee and you could WIN IT.","2017-07-19T09:35:01+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155397930069693/?type=3","32075534692_10155397930069693",NA,812,1110,144
"156",156,32075534692,"Oasis Fashion","Beautiful butterflies adorn these pretty pieces, but which one floats your boat? Tell us if you prefer THIS dress or THAT top and you could WIN IT.","2017-07-12T09:20:02+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155371785264693/?type=3","32075534692_10155371785264693",NA,1295,1767,204
"162",162,32075534692,"Oasis Fashion","Tennis anyone? This week we're inspired by Wimbledon and its gleaming tennis whites. Tell us if you prefer THIS lace mini or THAT long sleeve bardot and you could WIN IT.","2017-07-05T09:00:04+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155347385299693/?type=3","32075534692_10155347385299693",NA,786,1156,121
"167",167,32075534692,"Oasis Fashion","That’s right, we have TWO £500 Oasis vouchers up for grabs, plus FIVE runner-up prizes courtesy of Hawaiian Tropic Silk Hydration Suncare. For your chance to win, COMMENT where you’re heading this summer and what you’ll be wearing THEN SHARE!","2017-06-30T13:00:05+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155328077389693/?type=3","32075534692_10155328077389693",NA,1617,2001,1379
"169",169,32075534692,"Oasis Fashion","It's time to brighten up your wardrobe! Tell us if you prefer THIS lemon mini or THAT beautiful blue shift and you could WIN IT.","2017-06-28T09:10:19+0000","video","https://www.facebook.com/oasisfashions/videos/10155319811024693/","32075534692_10155319811024693",NA,859,1292,142
"176",176,32075534692,"Oasis Fashion","Show those shoulders in the shape of the season! Tell us if you prefer THIS palm print bardot or THAT turquoise bardot for a chance to WIN IT.","2017-06-21T10:05:17+0000","video","https://www.facebook.com/oasisfashions/videos/10155295554244693/","32075534692_10155295554244693",NA,751,1019,101
"181",181,32075534692,"Oasis Fashion","Want to win one of these pretty pieces? Just tell us if you prefer THIS cold shoulder scuba dress or THAT lace hem v-neck cami. 

Explore our perfectly printed collection here http://www.oasis-stores.com/gb/collections/royal-worcester/","2017-06-14T13:00:20+0000","video","https://www.facebook.com/oasisfashions/videos/10155273402674693/","32075534692_10155273402674693",NA,1281,1635,153
"185",185,32075534692,"Oasis Fashion","We're feeling pretty in pink! Tell us if you prefer THIS dress or THAT jumpsuit and you could WIN IT.","2017-06-07T14:10:02+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155250091089693/?type=3","32075534692_10155250091089693",NA,1427,1904,251
"194",194,32075534692,"Oasis Fashion","Nothing says boho beauty like a bold, graphic print. Tell us if you prefer THIS pretty playsuit or THAT cute cami for a chance to WIN IT.","2017-05-31T15:45:19+0000","video","https://www.facebook.com/oasisfashions/videos/10155227683559693/","32075534692_10155227683559693",NA,652,858,114
"200",200,32075534692,"Oasis Fashion","Want to win one of these pretty pieces? Just tell us if you prefer THIS pretty pleat skater or THAT stylish sundress. 
Explore our perfectly printed collection here http://www.oasis-stores.com/gb/collections/royal-worcester/","2017-05-24T10:03:46+0000","video","https://www.facebook.com/oasisfashions/videos/10155205290119693/","32075534692_10155205290119693",NA,1138,1639,188
"207",207,32075534692,"Oasis Fashion","We've teamed up with London brand Nooki to create some VERY stylish statement pieces. Tell us which beautiful beaded bag you prefer and you could WIN IT.","2017-05-17T09:20:12+0000","video","https://www.facebook.com/oasisfashions/videos/10155182830909693/","32075534692_10155182830909693",NA,657,812,124
"215",215,32075534692,"Oasis Fashion","It's time to show off those shoulders! Tell us if you prefer THIS lace trim cami or THAT cute coral top and you could WIN IT.","2017-05-10T09:00:12+0000","video","https://www.facebook.com/oasisfashions/videos/10155161221904693/","32075534692_10155161221904693",NA,847,1151,150
"222",222,32075534692,"Oasis Fashion","Get set for alllll those special celebrations, starting with a dreamy dress! Tell us if you prefer THIS tropical dress or THAT dandelion dress and you could WIN IT.","2017-05-03T09:20:01+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155140515404693/?type=3","32075534692_10155140515404693",NA,823,1100,165
"229",229,32075534692,"Oasis Fashion","It's time to brighten up! Tell us if you prefer THIS luxurious lace skater or THAT beautiful bloom pencil dress and you could WIN IT.","2017-04-26T09:00:08+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155119409629693/?type=3","32075534692_10155119409629693",NA,1035,1342,188
"235",235,32075534692,"Oasis Fashion","It's the pretty scarf-inspired print that's set for strolls and sunshine. Tell us if you prefer THIS cold shoulder top or THAT shift dress and you could WIN IT.","2017-04-19T14:00:06+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155095084474693/?type=3","32075534692_10155095084474693",NA,847,1117,149
"249",249,32075534692,"Oasis Fashion","Starting to plan for your next getaway? Tell us if you prefer THIS Scallop Lace Kaftan or THAT Tropical Penang Jumpsuit and you could WIN IT.","2017-04-12T09:00:05+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155070527649693/?type=3","32075534692_10155070527649693",NA,724,1007,124
"256",256,32075534692,"Oasis Fashion","A new season, a new wardrobe. Tell us if you prefer THIS bird tie front top or THAT bird stripe tee and you could WIN IT.","2017-04-05T09:30:02+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155045283709693/?type=3","32075534692_10155045283709693",NA,947,1295,158
"263",263,32075534692,"Oasis Fashion","A new season, a new wardrobe. Tell us if you prefer THIS spring shirt or THAT hummingbird dress and you could WIN IT.","2017-03-29T12:05:00+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155025646024693/?type=3","32075534692_10155025646024693",NA,1003,1328,168
"270",270,32075534692,"Oasis Fashion","It's time to get a taste for the exotic! Tell us if you prefer THIS tropical dress or THAT tropical skirt and you could WIN IT.","2017-03-22T12:00:04+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10155004771674693/?type=3","32075534692_10155004771674693",NA,1080,1349,165
"278",278,32075534692,"Oasis Fashion","Searching for a new springtime staple? Tell us if you prefer THIS cold shoulder shirt or THAT stripe shirtdress and you could WIN IT.","2017-03-15T11:40:03+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10154984709399693/?type=3","32075534692_10154984709399693",NA,940,1206,143
"287",287,32075534692,"Oasis Fashion","Received that all-important invite? Tell us which pretty piece you prefer and you could WIN IT.","2017-03-08T10:35:03+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10154961163039693/?type=3","32075534692_10154961163039693",NA,1065,1416,182
"294",294,32075534692,"Oasis Fashion","Team your skinnies with a standout piece, just tell us if you prefer THIS or THAT and you could WIN IT.","2017-03-01T14:00:08+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10154940790019693/?type=3","32075534692_10154940790019693",NA,712,1008,132
"297",297,32075534692,"Oasis Fashion","WIN a floristry workshop for two at Nikki Tibbles Wild at Heart, PLUS a £150 Oasis gift voucher. Comment and tell us what your favourite flower is and WHY to enter","2017-02-27T17:00:16+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10154936043849693/?type=3","32075534692_10154936043849693",NA,712,931,101
"302",302,32075534692,"Oasis Fashion","You're bound to fall in love with these beautiful blooms, inspired by Nikki Tibbles Wild at Heart. Tell us if you prefer THIS or THAT for a chance to WIN IT.","2017-02-22T10:30:02+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10154921818729693/?type=3","32075534692_10154921818729693",NA,2331,2690,307
"309",309,32075534692,"Oasis Fashion","Fancy a little floral? Us too. Tell us if you prefer THIS embroidered floral knit or THAT floral-filled shirt and you could WIN IT.","2017-02-15T11:45:02+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10154899092324693/?type=3","32075534692_10154899092324693",NA,1038,1383,107
"310",310,32075534692,"Oasis Fashion","Sporty stripes, or sleek skinnies? Tell us if you prefer THIS or THAT and you could WIN IT.","2017-02-14T17:45:03+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10154897158179693/?type=3","32075534692_10154897158179693",NA,554,811,75
"316",316,32075534692,"Oasis Fashion","Daytime stripes or nighttime shine? Tell us if you prefer THIS or THAT and you could WIN it.","2017-02-08T10:30:03+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10154879813929693/?type=3","32075534692_10154879813929693",NA,918,1239,114
"317",317,32075534692,"Oasis Fashion","Looking for the ultimate arm candy? Tell us if you prefer THIS going out (out) clutch or THAT popping out tote and you could WIN it.","2017-02-07T08:00:10+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10154876626824693/?type=3","32075534692_10154876626824693",NA,893,1258,162
"321",321,32075534692,"Oasis Fashion","Because who can resist a pretty new tee? Tell us if you preferTHIS simple tee or THAT statement tee and you could WIN IT","2017-02-03T17:00:43+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10154866333934693/?type=3","32075534692_10154866333934693",NA,882,1395,138
"323",323,32075534692,"Oasis Fashion","Luxurious lace or stylish stripe? Tell us if you prefer THIS or THAT and you could WIN IT.","2017-02-02T12:30:07+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10154862575689693/?type=3","32075534692_10154862575689693",NA,945,1479,139
"324",324,32075534692,"Oasis Fashion","Add some flower power to your wardrobe this season. Tell us if you prefer THIS embroidered floral shift or THAT lace floral skater and you could WIN IT.","2017-02-01T07:45:02+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10154859057164693/?type=3","32075534692_10154859057164693",NA,1132,1637,151
"328",328,32075534692,"Oasis Fashion","Now that's one way to style our statement stripe jumper.  http://www.oasis-stores.com/gb/clothing/knitwear/bow-hem-stripe-knit/0612271901.html","2017-01-28T08:45:00+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10154843137119693/?type=3","32075534692_10154843137119693",NA,3222,88,15
"329",329,32075534692,"Oasis Fashion","Which knit do you pick? Tell us if you prefer THIS embroidered floral knit or THAT essential striped knit and you could WIN IT.","2017-01-27T12:45:03+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10154845200494693/?type=3","32075534692_10154845200494693",NA,897,1293,131
"331",331,32075534692,"Oasis Fashion","A mini is a MUST this season, but which one gets your vote? Tell us if you prefer THIS easy denim skirt or THAT sweet scallop skirt and you could WIN it.","2017-01-26T10:15:02+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10154842276979693/?type=3","32075534692_10154842276979693",NA,713,989,135
"332",332,32075534692,"Oasis Fashion","Looking for a cute cover-up? You're in luck. Tell us if you prefer THIS boyfriend blazer or THAT bird print jacket and you could WIN it.","2017-01-25T15:05:03+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10154839518539693/?type=3","32075534692_10154839518539693",NA,806,1037,137
"333",333,32075534692,"Oasis Fashion","The Pre-Spring Edit has landed and we want to know what pretty pieces you prefer. Tell us if you prefer THIS printed skater dress or THAT simple shirt dress and you could WIN IT.","2017-01-24T17:30:03+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10154835428589693/?type=3","32075534692_10154835428589693",NA,912,1146,111
"340",340,32075534692,"Oasis Fashion","Pretty petals or stylish stripes? Tell us if you prefer THIS or THAT and you could #WINIT","2017-01-18T10:31:01+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10154812586079693/?type=3","32075534692_10154812586079693",NA,904,1115,166
"347",347,32075534692,"Oasis Fashion","Freshly picked just for you. Tell us if you prefer these pretty petals on THIS stylish skater or THAT lace trimmed tee for a chance to #WINIT","2017-01-11T12:45:02+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10154789804399693/?type=3","32075534692_10154789804399693",NA,984,1163,170
"353",353,32075534692,"Oasis Fashion","In need of some New Year fitness motivation? We have the answer. Tell us if you prefer THIS printed vest or THAT super-soft hoody and you could #WINIT","2017-01-04T11:29:13+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10154770968179693/?type=3","32075534692_10154770968179693",NA,1173,1386,236
"360",360,32075534692,"Oasis Fashion","Looking for a new statement print? Look no further. Tell us if you prefer THIS stylish shift or THAT pretty pink top and you could #WINIT","2016-12-28T10:20:02+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10154749888774693/?type=3","32075534692_10154749888774693",NA,1369,1620,198
"364",364,32075534692,"Oasis Fashion","Satin or sparkle? Tell us if you prefer THIS or THAT and you could #WINIT","2016-12-21T10:40:01+0000","photo","https://www.facebook.com/oasisfashions/photos/a.72522249692.71366.32075534692/10154725278399693/?type=3","32075534692_10154725278399693",NA,913,1169,136
